167. Matty Beniers, Sea (C54)
168. Sean Durzi, Utah (D38)
169. Yegor Chinakhov, Cls (RW29)
170. Jeremy Swayman, Bos (G9)
171. Matt Duchene, Dal (C55)
172. Alex Killorn, Ana (C56)
173. Ilya Sorokin, NYI (G10)
174. Cam York, Phi (D39)
175. Philipp Kurashev, Chi (LW41)
176. Ryan Hartman, Min (RW30)
177. Justin Faulk, StL (D40)
178. Morgan Rielly, Tor (D41)
179. Jake Oettinger, Dal (G11)
180. Tyler Seguin, Dal (C57)
181. Frederik Andersen, Car (G12)
182. Jakob Chychrun, Wsh (D42)
183. Eeli Tolvanen, Sea (LW42)
184. Nick Bjugstad, Utah (C58)
185. Dylan Guenther, Utah (RW31)
186. Gabriel Landeskog, FA (LW43)
187. Teuvo Teravainen, Chi (LW44)
188. Tyler Bertuzzi, Chi (LW45)
189. Phillip Danault, LA (C59)
190. Matias Maccelli, Utah (LW46)
191. Nino Niederreiter, Wpg (RW32)
192. Mark Stone, Vgk (RW33)
193. Mikael Granlund, SJ (C60)
194. Adam Larsson, Sea (D43)
195. Trevor Zegras, Ana (C61)
196. Neal Pionk, Wpg (D44)
197. Gustav Forsling, Fla (D45)
198. Rickard Rakell, Pit (C62)
199. Troy Terry, Ana (RW34)
200. Sean Monahan, Cls (C63)
