182. Mike Matheson, D, MTL
183. Lane Hutson, D, MTL (rookie)
184. Philipp Kurashev, F, CHI
185. Anthony Duclair, F, NYI
186. Cole Perfetti, F, WPG
187. Travis Sanheim, D, PHI
188. Ivan Barbashev, F, VGK
189. Jake Sanderson, D, OTT
190. Tyler Seguin, F, DAL
191. Taylor Hall, F, CHI
192. Leo Carlsson, F, ANA
193. Mavrik Bourque, F, DAL (rookie)
194. Dylan Guenther, F, UTA
195. Arturs Silovs, G, VAN (rookie)
196. Mikael Granlund, F, SJS
197. Tyler Bertuzzi, F, CHI
198. Jakob Chychrun, D, WSH
199. Brandt Clarke, D, LAK
200. Josh Doan, F, UTA (rookie)
